		Nome Progetto:	PROGETTO WIRES_244											
		commessa:	commessa											
	ORIGINE			DESTINAZIONE										
N. Pagina	Zona	Componente:pin	N. Pagina	Zona	Componente:pin	Numero filo	Sezione	Colore	Tipo pot.	Nome pot.	L filo (m)	Traccia collegamenti	Terminazione Origine	Terminazione Destinazione
+1500/1.1	Q	=-F1500.1:1	+1500/1.1	Q	=-F1500.2:1	0005L1	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.1:2	+1500/1.1	Q	=-Q1500.1:1	1500.01	1,5 mm²	BK	L	400V	1,827 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.1:3	+1500/1.1	Q	=-F1500.2:3	0005L2	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.1:4	+1500/1.1	Q	=-Q1500.1:3	1500.02	1,5 mm²	BK	L	400V	1,85 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.1:5	+1500/1.1	Q	=-F1500.2:5	0005L3	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.1:6	+1500/1.1	Q	=-Q1500.1:5	1500.03	1,5 mm²	BK	L	400V	1,873 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.2:1	+1500/1.1	Q	=-F1500.3:1	0005L1	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.2:2	+1500/1.1	Q	=-Q1500.2:1	1500.07	1,5 mm²	BK	L	400V	1,917 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.2:3	+1500/1.1	Q	=-F1500.3:3	0005L2	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.2:4	+1500/1.1	Q	=-Q1500.2:3	1500.08	1,5 mm²	BK	L	400V	1,94 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.2:5	+1500/1.1	Q	=-F1500.3:5	0005L3	1,5 mm²	BK	L	400V	0,474 m	=-U4	ELETTROSALDATO_molla	ELETTROSALDATO_molla
+1500/1.1	Q	=-F1500.2:6	+1500/1.1	Q	=-Q1500.2:5	1500.09	1,5 mm²	BK	L	400V	1,963 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.3:2	+1500/1.1	Q	=-Q1500.3:1	1500.13	1,5 mm²	BK	L	400V	2,007 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
+1500/1.1	Q	=-F1500.3:4	+1500/1.1	Q	=-Q1500.3:3	1500.14	1,5 mm²	BK	L	400V	2,03 m	=-U3;=-U5;=-U2	ELETTROSALDATO_molla	PUNTALINO_vite
